x;y;tempo;inverso
100;100;0.00000;1
10000;10000;0.31100;1
20000;20000;1.25200;1
15000;15000;0.68900;1
5000;5000;0.13900;1
2500;2500;0.01900;1
1250;1250;0.00500;1
625;625;0.00200;1
312;312;0.00100;1
156;156;0.00000;1
22000;22000;1.64900;1
22500;22500;1.62100;1
22750;22750;1.61300;1
22750;22750;1.60100;1
22900;22900;1.64800;1
22950;22950;1.91500;1
22950;22950;1.62400;1
22970;22970;2.00300;1
22960;22960;1.73700;1
22955;22955;1.63100;1
22951;22951;1.97300;1
22950;22950;1.65400;1
7000;7000;0.15400;1
8000;8000;0.19900;1
9000;9000;0.24900;1
11000;11000;0.40800;1
12000;12000;0.44500;1
13000;13000;0.52100;1
14000;14000;0.61000;1
16000;16000;0.81200;1
17000;17000;0.98200;1
18000;18000;1.03600;1
19000;19000;1.16800;1
21000;21000;1.47100;1
